|time | inM  |  instruction   |reset| outM  |writeM|address| pc  |DRegister|
| 0+  |     0|0011000000111001|  0  |      0|   0  |     0 |    0|       0 |
| 1   |     0|0011000000111001|  0  |      0|   0  | 12345 |    1|       0 |
| 1+  |     0|1110110000010000|  0  |  12345|   0  | 12345 |    1|   12345 |
| 2   |     0|1110110000010000|  0  |  12345|   0  | 12345 |    2|   12345 |
| 2+  |     0|0101101110100000|  0  |     -1|   0  | 12345 |    2|   12345 |
| 3   |     0|0101101110100000|  0  |     -1|   0  | 23456 |    3|   12345 |
| 3+  |     0|1110000111110000|  0  |  11111|   0  | 23456 |    3|   11111 |
| 4   |     0|1110000111110000|  0  |      0|   0  | 11111 |    4|   11111 |
| 4+  |     0|0000001111101011|  0  | -11111|   0  | 11111 |    4|   11111 |
| 5   |     0|0000001111101011|  0  | -11111|   0  |  1003 |11111|   11111 |
| 5+  |     0|1110001100001000|  0  |  11111|   1  |  1003 |11111|   11111 |
| 6   |     0|1110001100001000|  0  |  11111|   1  |  1003 |11112|   11111 |
| 6+  |     0|0000001111101100|  0  | -11111|   0  |  1003 |11112|   11111 |
| 7   |     0|0000001111101100|  0  | -11111|   0  |  1004 |11113|   11111 |
| 7+  |     0|1110001110011000|  0  |  11110|   1  |  1004 |11113|   11110 |
| 8   |     0|1110001110011000|  0  |  11109|   1  |  1004 |11114|   11110 |
| 8+  |     0|0000001111101000|  0  | -11110|   0  |  1004 |11114|   11110 |
| 9   |     0|0000001111101000|  0  | -11110|   0  |  1000 |11115|   11110 |
| 9+  | 11111|1111010011110000|  0  |     -1|   0  |  1000 |11115|      -1 |
| 10  | 11111|1111010011110000|  0  | -11112|   0  | 32767 |11116|      -1 |
| 10+ | 11111|0000000000001110|  0  |     -1|   0  | 32767 |11116|      -1 |
| 11  | 11111|0000000000001110|  0  |     14|   0  |    14 |32767|      -1 |
| 11+ | 11111|1110001100000100|  0  |     -1|   0  |    14 |32767|      -1 |
| 12  | 11111|1110001100000100|  0  |     -1|   0  |    14 |    0|      -1 |
| 12+ | 11111|0000001111100111|  0  |      1|   0  |    14 |    0|      -1 |
| 13  | 11111|0000001111100111|  0  |      1|   0  |   999 |   14|      -1 |
| 13+ | 11111|1111110111100000|  0  |  11112|   0  |   999 |   14|      -1 |
| 14  | 11111|1111110111100000|  0  |  11112|   0  | 11112 |   15|      -1 |
| 14+ | 11111|1110001100101000|  0  |     -1|   1  | 11112 |   15|      -1 |
| 15  | 11111|1110001100101000|  0  |     -1|   1  | 32767 |   16|      -1 |
| 15+ | 11111|0000000000010101|  0  |     -1|   0  | 32767 |   16|      -1 |
| 16  | 11111|0000000000010101|  0  |     21|   0  |    21 |   17|      -1 |
| 16+ | 11111|1110011111000010|  0  |      0|   0  |    21 |   17|      -1 |
| 17  | 11111|1110011111000010|  0  |      0|   0  |    21 |   18|      -1 |
| 17+ | 11111|0000000000000010|  0  |     21|   0  |    21 |   18|      -1 |
| 18  | 11111|0000000000000010|  0  |      2|   0  |     2 |   19|      -1 |
| 18+ | 11111|1110000010111000|  0  |      1|   1  |     2 |   19|       1 |
| 19  | 11111|1110000010111000|  0  |      2|   1  |     1 |   20|       1 |
| 19+ | 11111|1111110111001000|  0  |  11112|   1  |     1 |   20|       1 |
| 20  | 11111|1111110111001000|  0  |  11112|   1  |     1 |   21|       1 |
| 20+ | 11111|1111110010101000|  0  |  11110|   1  |     1 |   21|       1 |
| 21  | 11111|1111110010101000|  0  |  11110|   1  | 11110 |   22|       1 |
| 21+ | 11111|0000001111101000|  0  |     -1|   0  | 11110 |   22|       1 |
| 22  | 11111|0000001111101000|  0  |     -1|   0  |  1000 |   23|       1 |
| 22+ | 11111|1110111010010000|  0  |     -1|   0  |  1000 |   23|      -1 |
| 23  | 11111|1110111010010000|  0  |     -1|   0  |  1000 |   24|      -1 |
| 23+ | 11111|1110001100000001|  0  |     -1|   0  |  1000 |   24|      -1 |
| 24  | 11111|1110001100000001|  0  |     -1|   0  |  1000 |   25|      -1 |
| 24+ | 11111|1110001100000010|  0  |     -1|   0  |  1000 |   25|      -1 |
| 25  | 11111|1110001100000010|  0  |     -1|   0  |  1000 | 1000|      -1 |
| 25+ | 11111|1110001100000011|  0  |     -1|   0  |  1000 | 1000|      -1 |
| 26  | 11111|1110001100000011|  0  |     -1|   0  |  1000 | 1000|      -1 |
| 26+ | 11111|1110001100000100|  0  |     -1|   0  |  1000 | 1000|      -1 |
| 27  | 11111|1110001100000100|  0  |     -1|   0  |  1000 | 1001|      -1 |
| 27+ | 11111|1110001100000101|  0  |     -1|   0  |  1000 | 1001|      -1 |
| 28  | 11111|1110001100000101|  0  |     -1|   0  |  1000 | 1002|      -1 |
| 28+ | 11111|1110001100000110|  0  |     -1|   0  |  1000 | 1002|      -1 |
| 29  | 11111|1110001100000110|  0  |     -1|   0  |  1000 | 1000|      -1 |
| 29+ | 11111|1110001100000111|  0  |     -1|   0  |  1000 | 1000|      -1 |
| 30  | 11111|1110001100000111|  0  |     -1|   0  |  1000 | 1000|      -1 |
| 30+ | 11111|1110101010010000|  0  |      0|   0  |  1000 | 1000|       0 |
| 31  | 11111|1110101010010000|  0  |      0|   0  |  1000 | 1001|       0 |
| 31+ | 11111|1110001100000001|  0  |      0|   0  |  1000 | 1001|       0 |
| 32  | 11111|1110001100000001|  0  |      0|   0  |  1000 | 1002|       0 |
| 32+ | 11111|1110001100000010|  0  |      0|   0  |  1000 | 1002|       0 |
| 33  | 11111|1110001100000010|  0  |      0|   0  |  1000 | 1003|       0 |
| 33+ | 11111|1110001100000011|  0  |      0|   0  |  1000 | 1003|       0 |
| 34  | 11111|1110001100000011|  0  |      0|   0  |  1000 | 1004|       0 |
| 34+ | 11111|1110001100000100|  0  |      0|   0  |  1000 | 1004|       0 |
| 35  | 11111|1110001100000100|  0  |      0|   0  |  1000 | 1000|       0 |
| 35+ | 11111|1110001100000101|  0  |      0|   0  |  1000 | 1000|       0 |
| 36  | 11111|1110001100000101|  0  |      0|   0  |  1000 | 1000|       0 |
| 36+ | 11111|1110001100000110|  0  |      0|   0  |  1000 | 1000|       0 |
| 37  | 11111|1110001100000110|  0  |      0|   0  |  1000 | 1000|       0 |
| 37+ | 11111|1110001100000111|  0  |      0|   0  |  1000 | 1000|       0 |
| 38  | 11111|1110001100000111|  0  |      0|   0  |  1000 | 1000|       0 |
| 38+ | 11111|1110111111010000|  0  |      1|   0  |  1000 | 1000|       1 |
| 39  | 11111|1110111111010000|  0  |      1|   0  |  1000 | 1001|       1 |
